MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Sant	Feliu	de	Pallerols	992	790	786	4	767	13	6			
Sant	Ferriol	150	367	366	1	351	7	8					
Sant	Jaume	de	Llierca	656	494	491	3	474	10	7			
Sant	Joan	les	Fonts	2.265	1.905	1.903	2	1.835	43	25			
Santa	Pau	1.254	1.286	1.281	5	1.222	35	24					
Tortellà	613	451	443	8	409	22	12						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Aiguaviva	556	376	374	2	364	8	2						
Bescanó	3.592	2.014	2.01	4	1.965	29	16						
Bordils	1.134	785	784	1	759	17	8						
Campllong	366	398	395	3	376	17	2						
Canet	d'Adri	537	601	599	2	572	19	8					
Cassà	de	la	Selva	6.77	3.574	3.56	14	3.466	58	36			
Celrà	3.117	2.02	2.01	10	1.914	64	32						
Cervià	de	Ter	652	569	567	2	551	11	5				
Flaçà	696	542	538	4	516	19	3						
Fornells	de	la	Selva	1.873	1.484	1.474	10	1.422	41	11			
Girona	64.395	30.686	30.499	187	28.965	1.106	428						
Juià	225	361	360	1	334	19	7						
Llagostera	5.543	3.064	3.052	12	2.937	96	19						
Llambilles	545	667	662	5	646	11	5						
Madremanya	196	150	147	3	144	1	2						
Quart	2.55	1.397	1.392	5	1.343	32	17						
Salt	14.515	5.879	5.853	26	5.49	327	36						
Sant	Andreu	Salou	125	422	420	2	409	8	3				
Sant	Gregori	2.626	2.105	2.099	6	2.032	43	24					
Sant	Joan	de	Mollet	380	291	290	1	278	10	2			
Sant	Jordi	Desvalls	522	485	484	1	472	6	6				
Sant	Julià	de	Ramis - Medinyà	2.475	559	554	5	526	22	6			
Sant	Martí	de	Llémena	454	511	505	6	482	11	12			
Sant	Martí	Vell	180	208	205	3	199	3	3				
Sarrià	de	Ter	3.788	2.677	2.656	21	2.494	130	32				
